start,end,Fecha,Sede,Genero,Edad,Notas,tecnica_grupo,Tecnica,Descripción,Tecnica_lengua,Lengua,Lengua_nota,Estado,Municipio,Localidad,Manufactura,Mano,Pedal,Telar,Mixta,Otra,Tejido,Telar_pedal,Manufactura_especifique,Tenido,Tipo_tenido,Plantas,Minerales,Animales,Otro,Tenido_especifique,Temporalidad,Historia,Materiales,Aprendizaje,Madre,Abuela,Tia,Hermana,Cunada,Instructora,Aprendi_otro,Padre,Aprendizaje_especifique,Ensenanza,No_ensenado,Hijas,Nietos,Sobrinos,Pareja,Estudiantes,Enseno_otra,Hijos,Ensenar_especifique,pr1,pr8,pr2,pr4,pr10,pr9,pr3,pr5,pr7,pr6,c6,cm7,c3,cm3,c7,cm5,c4,cm4,c1,cm1,c2,cm2,c8,cm8,c5,cm6,Significado,S1,S2,S3,S4,S5,pic,video,index,concat_id,_index
08/10/2025,08/10/2025,15/10/2025,Mérida,mujer,,,Tejido a mano,Urdido,,,Maya Yucateco,,Yucatán,Chapab,,se_realiza_a_mano,1,0,0,0,0,0,0,,Sí,te_ido_con_sales_y_minerales__ejem__alum,0,1,0,0,,es_una_t_cnica_antigua,Realación con la naturaleza,"Hilos, telas, aguja",madre abuela hermana,1,1,0,1,0,0,0,0,,s__a_mis_hijas_o_hijos s__a_una_pareja,0,1,0,0,1,0,0,0,,Hamaca,Cobijas,Manteles,,,,,,,,Bautizo,Manteles,,,,,,,,,,,,,,,Sí,Representación de la naturaleza,,,,,,,001,001-Mérida,1
08/10/2025,08/10/2025,15/10/2025,Mérida,mujer,64,,Telar de cintura,Telar de cintura,,,Tseltal,,Chiapas,Comitán de Domínguez,,otra,0,0,1,0,0,0,0,,Sí,te_ido_con_sales_y_minerales__ejem__alum te_ido_con_con_insectos_y_animales__ejem,0,1,1,0,,es_una_t_cnica_antigua,,,hermana,0,0,0,1,0,0,0,0,,s__a_mis_sobrinas_o_sobrinos s__a_estudiantes,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,002,002-Mérida,2
09/10/2025,09/10/2025,15/10/2025,Mérida,hombre,34,,Bordado a mano,Bordado Tenango,,,,,Hidalgo,Tenango de Doria,,se_realiza_a_mano,1,0,0,0,0,0,0,,Sí,te_ido_con_plantas__ejem__muicle__peric_ te_ido_con_sales_y_minerales__ejem__alum te_ido_con_con_insectos_y_animales__ejem,1,1,1,0,,es_una_t_cnica_antigua,"Animales míticos como serpientes emplumadas, aves de doble cabeza o jaguares con alas aparecen en algunos bordados, evocando leyendas prehispánicas o relatos locales sobre seres sobrenaturales. La leyenda del bordado como protección: Se dice que portar un tenango puede proteger al viajero, ya que lleva consigo los símbolos de su tierra, como si llevara un “pedazo de su pueblo” consigo.","manta de algodón, hilos de algodón o poliéster de colores brillantes, agujas, lápiz o marcador para el dibujo previo, bastidor (opcional), tijeras, y en ocasiones tela de lino o mezclilla para piezas más elaboradas.",abuela de_una_maestra_o_instructora,0,1,0,0,0,1,0,0,,s__a_mis_hijas_o_hijos s__a_mis_sobrinas_o_sobrinos,0,1,0,1,0,0,0,0,,Blusas,Camisas,Vestidos,Bolsas de mano,Fundas,Caminos de mesa,Tapices,Carteras,Cuadernos,Murales,Fiestas patronales,"Blusas bordadas, fajas, rebozos con tenangos.",Día de muertos,"Manteles bordados, caminos de mesa, vestidos con motivos florales y animales.",Carnaval,Camisas y vestidos coloridos con bordados de animales míticos.,Ceremonias de cosecha,"Quechquémitl bordado, blusas con motivos agrícolas.",Bodas tradicionales,"Vestidos bordados para la novia, camisas bordadas para el novio.",Bautizos,"Ropones bordados para el bebé, mantillas decoradas.",Rituales de sanación,Rebozos bordados con símbolos protectores.,Ceremonias de iniciación,"Fajas bordadas, blusas con símbolos de madurez.",Sí,"Los diseños representan animales, plantas y paisajes que reflejan la relación espiritual y cotidiana de las comunidades con su entorno natural.","Cada bordado cuenta historias locales, leyendas, rituales y momentos importantes, funcionando como una forma de preservar la historia oral y visual del pueblo.","El bordado Tenango es una afirmación de la identidad otomí-tepehua, expresando orgullo por sus raíces, lengua y tradiciones.","Algunos símbolos bordados se consideran amuletos o representaciones de fuerzas protectoras, usados en prendas durante rituales o momentos importantes.","Frente a la globalización y la apropiación cultural, el bordado Tenango se ha convertido en un símbolo de lucha por el reconocimiento y la defensa del patrimonio indígena.",,,003,003-Mérida,3
12/10/2025,12/10/2025,15/10/2025,Mérida,hombre,56,,Bordado a mano,Xmanikté,,Xmanikté,Maya Yucateco,,Yucatán,Calotmul,,se_realiza_a_mano,1,0,0,0,0,0,0,,Sí,te_ido_con_sales_y_minerales__ejem__alum,0,1,0,0,,es_una_t_cnica_antigua,,,de_una_maestra_o_instructora,0,0,0,0,0,1,0,0,,s__a_mis_hijas_o_hijos,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,004,004-Mérida,4
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,25,,Bordado a mano,Xmanikté,,Xmanikté,Maya Yucateco,,Yucatán,Maní,,se_realiza_a_mano,1,0,0,0,0,0,0,,Sí,te_ido_con_plantas__ejem__muicle__peric_,1,0,0,0,,es_una_t_cnica_antigua,"De origen prehispánico, con creencias asociadas a la vibora","Tela con deshilado sencillo, canela, hilos de algodón",abuela,0,1,0,0,0,0,0,0,,no_la_he_ense_ado,1,0,0,0,0,0,0,0,,Hipiles,Blusas,Manteles,,,,,,,,Hetzmek,Vestidos,Bautizo,Pañal,,,,,,,,,,,,,Sí,Representación de la piel de la serpiente,,,,,,,005,005-Mérida,5
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,27,,Bordado a mano,Bordado Ch'ol Tzeltal,,Tso 'zil,,Ztozhil,Chiapas,,,se_realiza_a_mano otra,1,0,1,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,Mi mamá y mi abuela,"Hilo,ajuga telares de pintura urdidor etc.",madre,1,0,0,0,0,0,0,0,,s__a_mis_sobrinas_o_sobrinos,0,0,0,1,0,0,0,0,Hermanitas,Tradicional,Cintura,Bordado,Urdidor,Enrollar hilo,,,,,,Tradicional,,,,,,,,,,,,,,,,Sí,Una tradición,,,,,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F4c90d648-9a3c-41e7-9f12-83058c72e54f%2FIMG_20251013_205450-14_16_20.jpg,,006,006-Mérida,6
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,37,,Bordado a máquina,Macizo,,"Macizo en máquina, puntada de red, deslizado",Maya Yucateco,,Yucatán,Oxkutzcab,,se_realiza_a_m_quina_de_pedal,0,1,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,Se ha utilizado por nuestro antepasada a mano pero ahora la podemos hacer a maquina,"Máquina industrial para bordar, tela blanca o de color, hilos iris para bordar e hilera",madre,1,0,0,0,0,0,0,0,,s__a_estudiantes,0,0,0,0,0,1,0,0,,Huipiles,Servilletas,Blusas,Almohadas,Vestidos,Estandartes/ cuadros,Pañales,Aretes,Sábanas y sobrecamas,Ternos  etc,Ceremonia religiosa,,Ceremonia tradicional,,Pasarelas,,Ceremonia culturales,,,,,,,,,,No,Puntadas antiguas,,,,,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F989d74fc-6d50-402e-a2a6-1428a87e95f4%2FIMG_20250922_2237242-14_37_52.jpg,,007,007-Mérida,7
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,37,,Bordado a máquina,Puntada de red,,"Macizo en máquina, puntada de red, deslizado",Maya Yucateco,,Yucatán,Oxkutzcab,,se_realiza_a_m_quina_de_pedal,0,1,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,Se ha utilizado por nuestro antepasada a mano pero ahora la podemos hacer a maquina,"Máquina industrial para bordar, tela blanca o de color, hilos iris para bordar e hilera",madre,1,0,0,0,0,0,0,0,,s__a_estudiantes,0,0,0,0,0,1,0,0,,Huipiles,Servilletas,Blusas,Almohadas,Vestidos,Estandartes/ cuadros,Pañales,Aretes,Sábanas y sobrecamas,Ternos  etc,Ceremonia religiosa,,Ceremonia tradicional,,Pasarelas,,Ceremonia culturales,,,,,,,,,,No,Puntadas antiguas,,,,,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F989d74fc-6d50-402e-a2a6-1428a87e95f4%2FIMG_20250922_2237242-14_37_52.jpg,,008,008-Mérida,7
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,30,,Bordado a mano,Cadeneta o cadenilla,,Lukaxte,Tsotsil,,Chiapas,San Cristóbal de las Casas,San cristobal de las casas,se_realiza_a_mano,1,0,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,Ropas tradicionales para su uso,"Estambre, algodón, hilasa",abuela,0,1,0,0,0,0,0,0,,no_la_he_ense_ado,1,0,0,0,0,0,0,0,,Blusas,Bolsas,Monederos,,,,,,,,Bodas,Blusas,Fiestas tradicionales,Ropa,,,,,,,,,,,,,Sí,Representa costumbres,Tradiciones,,,,,,017,017-Mérida,17
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,37,,Bordado a máquina,Deslizado,,"Macizo en máquina, puntada de red, deslizado",Maya Yucateco,,Yucatán,Oxkutzcab,,se_realiza_a_m_quina_de_pedal,0,1,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,Se ha utilizado por nuestro antepasada a mano pero ahora la podemos hacer a maquina,"Máquina industrial para bordar, tela blanca o de color, hilos iris para bordar e hilera",madre,1,0,0,0,0,0,0,0,,s__a_estudiantes,0,0,0,0,0,1,0,0,,Huipiles,Servilletas,Blusas,Almohadas,Vestidos,Estandartes/ cuadros,Pañales,Aretes,Sábanas y sobrecamas,Ternos  etc,Ceremonia religiosa,,Ceremonia tradicional,,Pasarelas,,Ceremonia culturales,,,,,,,,,,No,Puntadas antiguas,,,,,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F989d74fc-6d50-402e-a2a6-1428a87e95f4%2FIMG_20250922_2237242-14_37_52.jpg,,009,009-Mérida,7
