archivo_descargado,ruta_archivo,id,url,Sede,Genero,tecnica_grupo,Tecnica,Estado,Municipio,status,error_msg
006-Mérida-Bordado_Ch'ol_Tzeltal.jpg,C:/Users/ah_corona-amador/Documents/Banorte Bordadoras/Atlas Nacional de Técnicas/Fichas/pics/006-Mérida-Bordado_Ch'ol_Tzeltal.jpg,006-Mérida,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F4c90d648-9a3c-41e7-9f12-83058c72e54f%2FIMG_20251013_205450-14_16_20.jpg,Mérida,mujer,Bordado a mano,Bordado Ch'ol Tzeltal,Chiapas,NA,ok,NA
007-Mérida-Macizo.jpg,C:/Users/ah_corona-amador/Documents/Banorte Bordadoras/Atlas Nacional de Técnicas/Fichas/pics/007-Mérida-Macizo.jpg,007-Mérida,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F989d74fc-6d50-402e-a2a6-1428a87e95f4%2FIMG_20250922_2237242-14_37_52.jpg,Mérida,mujer,Bordado a máquina,Macizo,Yucatán,Oxkutzcab,ok,NA
008-Mérida-Puntada_de_red.jpg,C:/Users/ah_corona-amador/Documents/Banorte Bordadoras/Atlas Nacional de Técnicas/Fichas/pics/008-Mérida-Puntada_de_red.jpg,008-Mérida,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F989d74fc-6d50-402e-a2a6-1428a87e95f4%2FIMG_20250922_2237242-14_37_52.jpg,Mérida,mujer,Bordado a máquina,Puntada de red,Yucatán,Oxkutzcab,ok,NA
009-Mérida-Deslizado.jpg,C:/Users/ah_corona-amador/Documents/Banorte Bordadoras/Atlas Nacional de Técnicas/Fichas/pics/009-Mérida-Deslizado.jpg,009-Mérida,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F989d74fc-6d50-402e-a2a6-1428a87e95f4%2FIMG_20250922_2237242-14_37_52.jpg,Mérida,mujer,Bordado a máquina,Deslizado,Yucatán,Oxkutzcab,ok,NA
011-Mérida-Cadeneta_o_cadenilla.jpeg,C:/Users/ah_corona-amador/Documents/Banorte Bordadoras/Atlas Nacional de Técnicas/Fichas/pics/011-Mérida-Cadeneta_o_cadenilla.jpeg,011-Mérida,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2Fa694594f-c700-40e0-8d34-12fd6c19c80f%2FIMG-20250312-WA0027-14_57_56.jpeg,Mérida,mujer,Bordado a mano,Cadeneta o cadenilla,Yucatán,Oxkutzcab,ok,NA
012-Mérida-Punto_de_Cruz.heic,C:/Users/ah_corona-amador/Documents/Banorte Bordadoras/Atlas Nacional de Técnicas/Fichas/pics/012-Mérida-Punto_de_Cruz.heic,012-Mérida,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F5925f5b2-fb50-4842-ab80-f288fc394e8b%2F20250109_085832-15_2_52.heic,Mérida,mujer,Bordado a mano,Punto de Cruz,Chiapas,Yajalón,ok,NA
015-Mérida-Pepenado.jpg,C:/Users/ah_corona-amador/Documents/Banorte Bordadoras/Atlas Nacional de Técnicas/Fichas/pics/015-Mérida-Pepenado.jpg,015-Mérida,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F43b0aee7-6932-4349-a986-def5e2b368bd%2F17605627669385242158321186055267-15_13_0.jpg,Mérida,mujer,Bordado a mano,Pepenado,Hidalgo,Cardonal,ok,NA
016-Mérida-Hilván.jpg,C:/Users/ah_corona-amador/Documents/Banorte Bordadoras/Atlas Nacional de Técnicas/Fichas/pics/016-Mérida-Hilván.jpg,016-Mérida,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F43b0aee7-6932-4349-a986-def5e2b368bd%2F17605627669385242158321186055267-15_13_0.jpg,Mérida,mujer,Bordado a mano,Hilván,Hidalgo,Cardonal,ok,NA
018-Mérida-Cadeneta_o_cadenilla.webp,C:/Users/ah_corona-amador/Documents/Banorte Bordadoras/Atlas Nacional de Técnicas/Fichas/pics/018-Mérida-Cadeneta_o_cadenilla.webp,018-Mérida,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2Fbe453e84-9250-4acd-a1c4-63ab880c2560%2FIMG_20251015_150545_574-14_6_48.webp,Mérida,hombre,Bordado a máquina,Cadeneta o cadenilla,Oaxaca,San Juan Guichicovi,ok,NA
019-Mérida-Cadeneta_o_cadenilla.jpg,C:/Users/ah_corona-amador/Documents/Banorte Bordadoras/Atlas Nacional de Técnicas/Fichas/pics/019-Mérida-Cadeneta_o_cadenilla.jpg,019-Mérida,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F9ecfcb00-4c0e-44a9-95c7-0df9163921c8%2F20251015_150611-15_6_25.jpg,Mérida,mujer,Bordado a mano,Cadeneta o cadenilla,Oaxaca,San Juan Guichicovi,ok,NA
